name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,sModDesc,short,sprite
Overdriven Ballistic Feeder,ef_overdriven_ballistic_feeder,3,,,,Weapons,6000,FALSE,,,3,5,7,15,org.hatter.epitaphFrost.hullmods.OverdrivenBallisticFeeder,"Increases ballistic rate of fire and charge regeneration by %s, but increases weapon cost by %s and recoil by %s. ",No recoil or large weapon cost penalty.,,graphics/EpitaphFrost/hullmods/ef_overdriven_ballistic_feeder.png
Overcharged Energy Mounts,ef_overcharged_energy_mounts,3,,,,Weapons,6000,FALSE,,,4,6,8,16,org.hatter.epitaphFrost.hullmods.OverchargedEnergyMounts,"Increases energy damage by %s, but increases weapon cost by %s and flux by %s. ",Flux cost is %s and small penalty becomes a discount.,,graphics/EpitaphFrost/hullmods/ef_overcharged_energy_mounts.png
Superconductive Cycler,ef_superconductive_cycler,3,,,,Weapons,6000,FALSE,,,3,5,7,15,org.hatter.epitaphFrost.hullmods.SuperconductiveCycler,"Increases energy weapon rate of fire and charge regeneration by %s while soft flux is below %s, afterwards bonus decays until ending at %s.",Reduce energy weaapon flux by %s.,,graphics/EpitaphFrost/hullmods/ef_superconductive_cycler.png
Hybrid Synchronizer,ef_hybrid_synchronizer,3,,,,Weapons,6000,FALSE,,,5,10,15,25,org.hatter.epitaphFrost.hullmods.HybridSynchronizer,"Increases energy base range by %s, up to %s at maximum effect when total ballistic weaponry OP is higher than energy weaponry OP and up to %s flux reduction for ballistics, scaling similiarly. Ballistic/Energy op is %s. Ballistic/Energy Weaponry Mastery to effect Energy/Ballistic weapons with range bracket of %s.",,,graphics/EpitaphFrost/hullmods/ef_hybrid_synchronizer.png
Energy Rangefinder,ef_energy_rangefinder,3,,,,Weapons,6000,FALSE,,,0,10,15,20,org.hatter.epitaphFrost.hullmods.EnergyRangefinder,,,,graphics/EpitaphFrost/hullmods/ef_energy_rangefinder.png
System Overhaul,ef_system_overhaul,3,,,no_build_in,Special,6000,FALSE,,,10,20,30,50,org.hatter.epitaphFrost.hullmods.SystemOverhaul,"On non-phaseships/phaseships increases system frequency by %s, number of charges by %s, and range by %s. Cannot be built in.",,,graphics/EpitaphFrost/hullmods/ef_system_overhaul.png
Dedicated Weaponry Capacitors,ef_double_tap,3,,,,Special,6000,FALSE,,,5,10,15,20,org.hatter.epitaphFrost.hullmods.DoubleTap,"Increases flux capacity and shield damage taken by %s, phase upkeep by %s, and vent speed by %s.",,,graphics/EpitaphFrost/hullmods/ef_weapon_capacitor.png
Auxiliary Turbines,ef_auxiliary_turbines,3,,,,Engines,6000,FALSE,,,0,0,15,20,org.hatter.epitaphFrost.hullmods.AuxiliaryTurbines,Increases zero flux speed by %s and acceleration by %s while flux is under %s,,,graphics/EpitaphFrost/hullmods/ef_aux_turbine.png
Powered Missile Loader,ef_integrated_missile_loader,3,,,,Weapons,6000,FALSE,,,4,6,8,16,org.hatter.epitaphFrost.hullmods.IntegratedMissileLoader,"Boosts missile ROF by %s, but reduces HP by %s. Flux dissipitation reduced by %s per OP spent on missiles, current penalty: %s.",No dissipitation penalty,,graphics/EpitaphFrost/hullmods/ef_multimissile.png
Integrated Ordnance Grid,ef_integrated_ordnance_grid,,,,,,,,TRUE,,0,0,0,0,org.hatter.epitaphFrost.hullmods.IntegratedOrdnanceGrid,"Increases weapon range by %s, reduces OP costs of weapons by %s, and increases flux dissipitation/capacity by %s/%s per OP spent on weaponry.",,,graphics/EpitaphFrost/hullmods/ef_integrated_ordnance_grid.png
