id,type,text1,text2,text3,notes
# Ships,,"The Quest class battleship provides extremely heavy firepower at range, held back by a relatively fragile shield.",,,
ef_quest,SHIP,The Quest class battleship was built to partner with the Pegasus' ,,,
ef_fluorescence,SHIP,"A remnant of the autonomous AI fleets developed by the Tri-Tachyon Corporation. Illegal under Domain (and Hegemony) law, and an abomination to the Church of Galactic Redemption, the First AI War saw these creations purged from the Sector. At least that is how the official histories tell it. The Fluorescent-class light cruiser acts as a skirmishing element, supporting the heavier Brilliant classes. 

",,,
ef_reinforcer,SHIP,"A heavy cruiser, with heavy armor and big guns. It is often used in place of a capital in smaller fleets. ",,,
ef_borealis,SHIP,"A heavy cruiser, derived from an Aurora-class with the temporal manipulation systems of an Anubis-class cruiser and a logistical footprint bigger than both of them.",,,
ef_stheno,SHIP,The Stheno was designed as an alternative for the Medusa. Sacrificing the Medusa's mobility for less expense and the ability to mount much heavier firepower. ,,,
ef_khepri,SHIP,"Spawned from the same black pit as the Anubis-class, the white-elephant concept Khepri-class battlecruiser came into existence by favoring scope creep over any design compromise. Possesses the firepower of an entire star fortress.",,,
,,,,,
#fulldesc,,"The beam appears unable to condense even at dramatically increased power and still causes no lasting interference on the shield generator, the project is cancelled, the prototype resulted in greater strain on the firing ship's flux grid than the recieving one and is outperformed by the Sabot missile.",,,
ef_corpreducer,WEAPON,"""The beam appears unable to condense even at dramatically increased power and still causes...""",- Internal Memo,,
ef_corpreducer_medium,WEAPON,""" ... greater strain on the firing ship's flux grid than the recieving one, and is outperformed by the Sabot KE-PEN missile.""",- Internal Memo,,
ef_corpreducer_small,WEAPON,"""... no lasting interference on the shield generator. Project Kazoo is cancelled, the prototype resulted in...""",- Internal Memo,,
